paper,year,x.value,high.low,africa.pct,love.lbs
1401,2014,65,l,7,NA
1402,2014,10,l,5,NA
1403,2014,65,h,68,NA
1404,2014,10,h,15,NA
1405,2014,10,h,7,NA
1406,2014,65,l,35,NA
1407,2014,10,h,15,NA
1408,2014,10,h,20,NA
1409,2014,65,l,20,NA
1410,2014,10,l,9,NA
1411,2014,10,l,25,NA
1412,2014,65,l,10,NA
1413,2014,65,l,20,NA
1414,2014,10,h,3,NA
1415,2014,10,l,4,NA
1416,2014,65,l,29,NA
1417,2014,10,h,35,NA
1418,2014,10,l,7,NA
1419,2014,10,l,5,NA
1420,2014,65,l,70,NA
1421,2014,65,l,33,NA
1422,2014,10,h,15,NA
1423,2014,10,l,5,NA
1424,2014,65,l,30,NA
1425,2014,65,l,40,NA
1426,2014,65,l,40,NA
1427,2014,65,l,10,NA
1428,2014,65,l,35,NA
1429,2014,10,l,25,NA
1430,2014,65,l,25,NA
1431,2014,10,h,25,NA
1432,2014,65,l,1,NA
1433,2014,10,l,8,NA
1434,2014,65,l,30,NA
1435,2014,65,l,17,NA
1436,2014,10,h,20,NA
1437,2014,65,l,20,NA
1438,2014,10,l,8,NA
1439,2014,65,l,26,NA
1440,2014,10,h,12,NA
1441,2014,10,h,15,NA
1501,2015,65,l,36,195
1502,2015,65,l,15,250
1503,2015,10,h,15,228
1504,2015,65,l,40,230
1505,2015,65,l,40,287
1506,2015,10,h,30,220
1507,2015,10,h,65,247
1508,2015,65,l,25,185
1509,2015,65,l,30,287
1510,2015,10,h,15,230
1511,2015,10,h,20,230
1512,2015,65,l,37,230
1513,2015,10,h,15,280
1514,2015,65,h,95,210
1515,2015,10,h,15,260
1516,2015,65,l,12,220
1517,2015,65,h,80,285
1518,2015,65,l,50,230
1519,2015,10,l,8,196
1520,2015,65,l,20,190
1521,2015,10,h,16,200
1522,2015,10,l,8,258
1523,2015,65,l,18,230
1524,2015,10,h,13,240
1525,2015,10,h,20,240
1526,2015,65,l,18,220
1527,2015,10,h,30,210
1528,2015,65,l,20,230
1529,2015,10,h,50,187
1530,2015,10,h,25,265
1531,2015,65,l,15,350
1532,2015,10,l,9,220
1533,2015,10,h,18,165
1534,2015,65,l,35,180
1535,2015,65,l,40,247
1536,2015,10,h,17,250
1537,2015,65,l,20,280
1538,2015,65,l,45,218
1539,2015,10,h,15,220
1540,2015,65,l,25,170
1541,2015,10,h,70,185
1542,2015,10,h,15,252
1543,2015,65,h,80,200
1544,2015,65,h,28,NA
1545,2015,10,l,8,260
1546,2015,10,h,15,322
1547,2015,10,h,15,285
1548,2015,65,l,35,270
1549,2015,65,l,25,215
